Jahr;Insgesamt;NahrungGenuss;Kleidung;WohnWasserStromBrenn;Einrichtung;VerkehrNachrichten;Freizeit;BeherbergGastst;Übrige
1970;191.29;46.88;18.58;33.66;17.91;23.94;18.10;9.32;22.90
1971;212.23;50.48;20.81;36.83;20.32;27.07;20.09;10.27;26.36
1972;233.18;54.98;23.24;40.61;22.69;29.80;22.31;11.33;28.22
1973;256.08;59.62;24.73;46.64;24.44;31.54;24.30;12.31;32.50
1974;275.59;62.04;26.44;51.81;26.35;32.47;26.57;13.47;36.44
1975;301.10;65.99;28.70;57.35;28.36;38.29;28.74;14.78;38.89
1976;326.15;70.52;30.27;63.19;30.43;43.22;30.83;16.15;41.54
1977;348.44;74.47;32.78;66.63;33.22;48.04;33.06;17.75;42.49
1978;367.20;77.83;34.26;71.20;35.32;51.81;35.25;18.78;42.75
1979;399.93;81.39;36.15;80.16;37.30;55.57;37.78;20.09;51.49
1980;431.89;88.40;39.18;86.84;39.72;57.53;39.40;20.46;60.36
1981;457.08;93.12;40.25;94.59;40.53;61.06;41.24;22.29;64.00
1982;476.20;97.29;40.02;102.06;40.06;63.17;42.43;23.12;68.05
1983;499.40;99.41;41.34;107.99;41.67;68.40;44.02;24.13;72.44
1984;522.96;101.34;42.75;115.96;42.82;71.73;45.86;26.03;76.47
1985;540.79;102.44;44.41;123.08;42.88;74.78;47.77;27.49;77.94
1986;552.40;103.69;46.29;123.16;44.28;78.15;50.08;29.10;77.65
1987;570.28;105.25;48.09;125.30;46.84;83.23;52.48;31.13;77.96
1988;596.27;107.37;48.72;128.07;49.47;87.10;55.65;33.26;86.63
1989;640.16;113.89;50.43;134.36;52.83;95.56;58.49;36.38;98.22
1990;703.20;123.83;56.68;142.72;58.43;107.27;65.67;39.95;108.65
1991;768.01;131.33;62.79;152.37;65.00;126.55;71.94;43.52;114.51
1991;853.90;143.89;63.12;162.73;65.26;141.76;91.46;49.61;136.08
1992;914.15;149.00;67.07;179.17;70.53;148.46;97.00;53.03;149.88
1993;950.24;148.52;68.11;202.13;73.27;143.51;99.97;55.63;159.10
1994;981.89;150.08;67.00;217.01;75.68;151.07;102.49;57.57;160.98
1995;1009.64;154.07;67.00;230.25;75.24;156.45;104.81;58.32;163.50
1996;1035.66;154.74;67.48;242.60;76.90;165.55;107.05;57.94;163.40
1997;1054.57;156.07;67.42;250.68;77.61;168.16;110.38;58.71;165.55
1998;1072.45;158.72;67.19;254.52;79.59;171.03;113.87;59.73;167.80
1999;1105.03;162.12;68.02;259.44;80.88;176.67;119.12;62.31;176.48
2000;1132.55;164.95;68.22;267.43;85.07;178.82;124.60;64.18;179.30
2001;1170.92;171.41;68.49;279.19;85.85;187.63;127.78;63.63;186.94
2002;1167.68;172.44;67.65;281.79;81.18;190.33;120.35;61.38;192.57
2003;1186.20;169.93;64.97;290.11;82.46;191.95;121.59;58.51;206.69
2004;1208.68;174.59;64.72;295.68;81.06;197.20;123.24;59.10;213.08
2005;1233.96;178.92;64.92;305.37;79.88;200.49;124.97;59.85;219.57
2006;1268.46;180.20;66.37;315.63;85.31;207.49;126.79;62.01;224.64
2007;1288.11;183.55;69.29;317.58;83.85;203.24;131.57;64.89;234.15
2008;1315.90;185.67;67.67;332.76;81.01;210.55;138.24;65.85;234.16
2009;1316.05;184.07;65.64;332.98;78.79;214.92;137.14;64.38;238.14
2010;1348.20;184.48;66.85;340.65;85.28;208.88;140.57;66.26;255.23
2011;1397.12;186.83;69.12;346.29;88.18;227.77;146.09;69.56;263.30
2012;1436.25;191.71;71.52;356.98;92.45;230.79;150.66;71.80;270.34
2013;1462.15;196.08;72.13;368.97;93.20;230.48;153.55;72.97;274.77
2014;1492.11;204.06;73.51;368.82;93.32;237.42;155.01;76.89;283.10
2015;1530.46;213.64;71.87;375.05;99.00;237.47;163.29;79.67;290.47
2016;1577.72;219.23;73.91;382.28;103.21;248.30;170.02;83.64;297.13
2017;1620.63;224.91;75.94;391.06;104.77;257.05;178.05;86.47;302.39
2018;1668.03;233.05;73.96;401.04;104.34;271.86;181.53;90.96;311.31
2019;1717.08;240.23;74.31;412.13;109.29;280.25;185.99;94.98;319.89
2020;1639.59;253.60;64.66;420.03;116.99;250.79;155.94;63.40;314.17
2021;1709.72;261.31;65.66;435.55;120.22;263.95;162.01;65.80;335.23
2022;1876.82;275.23;76.44;461.68;130.09;295.17;187.33;101.03;349.87
