Jahr;AN-Entgeld all;AN-Entgeld;Bruttolöhne;Nettolöhne;;;;;
1970; 184,33  ;690;591;456;;;;;
1971; 208,93  ;770;657;501;;;;;
1972; 231,64  ;843;715;548;;;;;
1973; 263,64  ;943;794;590;;;;;
1974; 291,63  ;1 048  ;878;645;;;;;
1975; 304,73  ;1 121  ;932;687;;;;;
1976; 329,37  ;1 209  ;997;720;;;;;
1977; 353,61  ;1 287  ;1 064  ;760;;;;;
1978; 377,51  ;1 355  ;1 118  ;807;;;;;
1979; 408,77  ;1 432  ;1 179  ;856;;;;;
1980; 444,33  ;1 527  ;1 255  ;899;;;;;
1981; 465,98  ;1 597  ;1 313  ;940;;;;;
1982; 480,60  ;1 660  ;1 361  ;966;;;;;
1983; 491,27  ;1 712  ;1 398  ;985;;;;;
1984; 510,50  ;1 761  ;1 433  ;1 000  ;;;;;
1985; 530,91  ;1 804  ;1 468  ;1 014  ;;;;;
1986; 559,14  ;1 861  ;1 515  ;1 050  ;;;;;
1987; 584,53  ;1 914  ;1 558  ;1 071  ;;;;;
1988; 609,10  ;1 963  ;1 598  ;1 104  ;;;;;
1989; 637,28  ;2 013  ;1 641  ;1 124  ;;;;;
1990; 689,53  ;2 106  ;1 717  ;1 207  ;;;;;
1991; 751,85  ;2 235  ;1 822  ;1 247  ;;;;;
1991; 853,46  ;2 016  ;1 657  ;1 161  ;;;;;
1992; 926,43  ;2 223  ;1 826  ;1 261  ;;;;;
1993; 948,86  ;2 314  ;1 905  ;1 319  ;;;;;
1994; 974,66  ;2 381  ;1 942  ;1 323  ;;;;;
1995;1 011,39  ;2 462  ;1 999  ;1 330  ;;;;;
1996;1 020,66  ;2 488  ;2 022  ;1 349  ;;;;;
1997;1 024,74  ;2 503  ;2 023  ;1 334  ;;;;;
1998;1 046,89  ;2 527  ;2 040  ;1 348  ;;;;;
1999;1 077,08  ;2 556  ;2 067  ;1 372  ;;;;;
2000;1 120,35  ;2 599  ;2 093  ;1 407  ;;;;;
2001;1 138,37  ;2 650  ;2 143  ;1 457  ;;;;;
2002;1 145,07  ;2 683  ;2 175  ;1 476  ;;;;;
2003;1 148,72  ;2 730  ;2 204  ;1 483  ;;;;;
2004;1 152,30  ;2 740  ;2 218  ;1 516  ;;;;;
2005;1 150,76  ;2 749  ;2 228  ;1 524  ;;;;;
2006;1 170,73  ;2 779  ;2 247  ;1 523  ;;;;;
2007;1 204,28  ;2 809  ;2 282  ;1 539  ;;;;;
2008;1 250,71  ;2 871  ;2 338  ;1 568  ;;;;;
2009;1 256,91  ;2 883  ;2 341  ;1 572  ;;;;;
2010;1 293,61  ;2 958  ;2 403  ;1 638  ;;;;;
2011;1 349,84  ;3 048  ;2 487  ;1 682  ;;;;;
2012;1 403,51  ;3 129  ;2 560  ;1 728  ;;;;;
2013;1 444,17  ;3 190  ;2 616  ;1 763  ;;;;;
2014;1 501,77  ;3 282  ;2 693  ;1 812  ;;;;;
2015;1 561,98  ;3 375  ;2 773  ;1 862  ;;;;;
2016;1 622,73  ;3 453  ;2 842  ;1 905  ;;;;;
2017;1 693,10  ;3 547  ;2 917  ;1 950  ;;;;;
2018;1 771,26  ;3 650  ;3 009  ;2 008  ;;;;;
2019;1 853,44  ;3 775  ;3 101  ;2 078  ;;;;;
2020;1 848,58  ;3 789  ;3 098  ;2 087  ;;;;;
2021;1 913,78  ;3 907  ;3 201  ;2 165  ;;;;;
2022;2 019,75  ;4 059  ;3 333  ;2 244  ;;;;;
