Jahr;ratioLFF;ratioDL
1970;0.08443;0.45101
1971;0.07903;0.45953
1972;0.07529;0.47243
1973;0.07123;0.47945
1974;0.0683;0.49149
1975;0.06648;0.50983
1976;0.06179;0.52068
1977;0.05863;0.52355
1978;0.05662;0.53007
1979;0.05254;0.5356
1980;0.05146;0.53778
1981;0.05016;0.54522
1982;0.04893;0.55475
1983;0.04801;0.56337
1984;0.04628;0.56913
1985;0.04433;0.57505
1986;0.04297;0.57875
1987;0.04087;0.58578
1988;0.03884;0.59229
1989;0.03667;0.59637
1990;0.03466;0.59943
1991;0.03298;0.60606
1991;0.0302;0.61334
1992;0.02703;0.63003
1993;0.0253;0.64221
1994;0.02429;0.65192
1995;0.02274;0.65854
1996;0.02126;0.6685
1997;0.02061;0.67618
1998;0.02021;0.68185
1999;0.01973;0.68954
2000;0.01916;0.69656
2001;0.01839;0.70165
2002;0.018;0.70887
2003;0.01797;0.71456
2004;0.01783;0.72042
2005;0.01727;0.72601
2006;0.01674;0.73072
2007;0.01646;0.7316
2008;0.01609;0.73126
2009;0.01594;0.73579
2010;0.01571;0.73984
2011;0.01565;0.73821
2012;0.0154;0.73733
2013;0.01514;0.73849
2014;0.01493;0.7395
2015;0.01468;0.74164
2016;0.01427;0.74403
2017;0.0139;0.74534
2018;0.01355;0.74513
2019;0.01321;0.74558
2020;0.01291;0.74732
2021;0.01245;0.74993
2022;0.01222;0.75228
